"id","user_id","device_name","device_id","created_at","is_active"
"1","1","Test GPS Tracker","test_gps_engine","2025-12-25 18:38:19","1"
"id","device_id","user_id","latitude","longitude","satellites","recorded_at"
"524","1","1","13.03856000","80.25033600","18","2026-01-10 05:15:05"
"525","1","1","13.03851900","80.25026700","17","2026-01-10 05:15:19"
"526","1","1","13.03850400","80.25029000","16","2026-01-10 05:15:32"
"527","1","1","13.03854500","80.25031300","16","2026-01-10 05:15:45"
"528","1","1","13.03856800","80.25032000","19","2026-01-10 05:15:58"
"529","1","1","13.03867700","80.25038900","8","2026-01-10 05:16:11"
"530","1","1","13.03868600","80.25038100","0","2026-01-10 05:16:25"
"531","1","1","13.03836300","80.25029000","10","2026-01-10 05:16:38"
"532","1","1","13.03842200","80.25037400","14","2026-01-10 05:16:52"
"533","1","1","13.03842200","80.25037400","0","2026-01-10 05:17:05"
"534","1","1","13.03862200","80.25038900","13","2026-01-10 05:17:19"
"535","1","1","13.03865200","80.25035100","15","2026-01-10 05:17:32"
"536","1","1","13.03860100","80.25029000","18","2026-01-10 05:18:09"
"537","1","1","13.03861700","80.25028200","18","2026-01-10 05:18:22"
"538","1","1","13.03863200","80.25027500","16","2026-01-10 05:18:38"
"539","1","1","13.03864900","80.25023700","16","2026-01-10 05:18:52"
"540","1","1","13.03782100","80.24859600","6","2026-01-19 17:38:10"
"541","1","1","13.03782200","80.24859600","6","2026-01-19 17:38:23"
"542","1","1","13.03782100","80.24859600","7","2026-01-19 17:38:36"
"543","1","1","13.03781800","80.24858100","6","2026-01-19 17:38:49"
"544","1","1","13.03781600","80.24857300","6","2026-01-19 17:39:04"
"545","1","1","13.03781100","80.24856600","6","2026-01-19 17:39:18"
"546","1","1","13.03780400","80.24855800","6","2026-01-19 17:39:31"
"547","1","1","13.03778700","80.24853500","6","2026-01-19 17:39:44"
"548","1","1","13.03776400","80.24852000","6","2026-01-19 17:39:58"
"549","1","1","13.03776400","80.24867200","8","2026-01-19 17:49:59"
"550","1","1","13.03776600","80.24868800","9","2026-01-19 17:50:12"
"551","1","1","12.97160000","77.59460000","22","2026-01-19 17:55:20"
"552","1","1","13.03774000","80.24857300","10","2026-01-19 17:55:46"
"553","1","1","13.03772400","80.24856600","11","2026-01-19 17:55:49"
"554","1","1","13.03771600","80.24852800","10","2026-01-19 17:56:02"
"555","1","1","13.03771300","80.24852000","10","2026-01-19 17:56:16"
"556","1","1","13.03770800","80.24852000","11","2026-01-19 17:56:29"
"557","1","1","13.03770800","80.24851200","10","2026-01-19 17:56:43"
"558","1","1","13.03770700","80.24851200","10","2026-01-19 17:56:56"
"559","1","1","13.03770700","80.24852000","10","2026-01-19 17:57:11"
"560","1","1","13.03770800","80.24852000","11","2026-01-19 17:57:23"
